var,blv
air_pre,-0.071985195
etdes_pre,-0.066963198
etgas_pre,-0.057425503
etiso_pre,0
etsevo_pre,-0.036623697
fio2_pre,-0.50957887
n2o_pre,-0.018709867
o2_pre,-0.074849337
ni_dbp_pre,-0.339953102
ni_mbp_pre,-0.309961244
ni_sbp_pre,-0.447385344
bis_pre,0.107694912
bt_pre,-0.006375139
cbro2_pre,-0.007135179
ci_pre,0.028984794
cvp_pre,0.10480965
hr_pre,0.038345808
minvol_pre,1.047348178
pap_dbp_pre,-0.040672462
pap_mbp_pre,0.009621392
pap_sbp_pre,-0.020563859
spo2_pre,0.86837565
sti_pre,0.006451902
stii_pre,-0.092973831
stiii_pre,0.021746654
stv5_pre,-0.017199438
svi_pre,0.008374438
etco2_pre,1.189650706
peep_pre,-0.101463429
pip_pre,1.025150707
pmean_pre,1.101220384
pplat_pre,0.984758229
rr_pre,0.146162488
vt_pre,0.997967526
dobui_pre,-0.027049916
dopai_pre,-0.023672192
eph_pre,-0.008888316
epi_pre,-0.002415324
epii_pre,-0.008209369
mlni_pre,-0.016396836
nepi_pre,-0.020034492
ntgi_pre,-0.016345736
phe_pre,-0.011607086
vaso_pre,-0.001863355
VIS_pre,-0.004853312
aft_pre,0
ftn_pre,-0.006282477
rfti_pre,-0.028473337
sft_pre,-0.001943263
mdz_pre,-0.00705821
ppf_pre,-0.006834827
ppfi_pre,-0.026438693
cryo_pre,-0.00224091
ffp_pre,-0.006187417
pc_pre,-0.002620989
pheresis_pre,-0.001315128
psa_pre,-0.03136907
rbc_pre,-0.007917963
d10w_pre,-0.000491469
d50w_pre,-0.0013605
d5w_pre,-0.000941419
hns_pre,-0.002924872
hs_pre,-0.042739842
ns_pre,-0.024860984
TCI_pre,-0.048691929
alb20_pre,-0.006456397
alb5_pre,-0.001101043
alb_pre,-0.00652061
hes_pre,-0.010475266
ebl_pre,-0.018754844
uo_pre,-0.053548957
crrt_pre,0
ecmo_pre,0
iabp_pre,0
vent_pre,0
gcs_e_pre,0.34699382
gcs_m_pre,0.277780551
gcs_v_pre,0.238684269
dt_pre,-0.257873136
mask_air_pre,0
mask_etdes_pre,0
mask_etgas_pre,0
mask_etiso_pre,0
mask_etsevo_pre,0
mask_fio2_pre,0
mask_n2o_pre,0
mask_o2_pre,0
mask_art_dbp_pre,0
mask_art_mbp_pre,0
mask_art_sbp_pre,0
mask_bis_pre,0
mask_bt_pre,0
mask_cbro2_pre,0
mask_ci_pre,0
mask_cvp_pre,0
mask_hr_pre,0
mask_minvol_pre,0
mask_pap_dbp_pre,0
mask_pap_mbp_pre,0
mask_pap_sbp_pre,0
mask_spo2_pre,0
mask_sti_pre,0
mask_stii_pre,0
mask_stiii_pre,0
mask_stv5_pre,0
mask_svi_pre,0
mask_etco2_pre,0
mask_peep_pre,0
mask_pip_pre,0
mask_pmean_pre,0
mask_pplat_pre,0
mask_rr_pre,0
mask_vt_pre,0
mask_dobui_pre,0
mask_dopai_pre,0
mask_eph_pre,0
mask_epi_pre,0
mask_epii_pre,0
mask_mlni_pre,0
mask_nepi_pre,0
mask_ntgi_pre,0
mask_phe_pre,0
mask_vaso_pre,0
mask_VIS_pre,0
mask_aft_pre,0
mask_ftn_pre,0
mask_rfti_pre,0
mask_sft_pre,0
mask_mdz_pre,0
mask_ppf_pre,0
mask_ppfi_pre,0
mask_cryo_pre,0
mask_ffp_pre,0
mask_pc_pre,0
mask_pheresis_pre,0
mask_psa_pre,0
mask_rbc_pre,0
mask_d10w_pre,0
mask_d50w_pre,0
mask_d5w_pre,0
mask_hns_pre,0
mask_hs_pre,0
mask_ns_pre,0
mask_TCI_pre,0
mask_alb20_pre,0
mask_alb5_pre,0
mask_alb_pre,0
mask_hes_pre,0
mask_ebl_pre,0
mask_uo_pre,0
mask_crrt_pre,0
mask_ecmo_pre,0
mask_iabp_pre,0
mask_vent_pre,0
mask_gcs_e_pre,0
mask_gcs_m_pre,0
mask_gcs_v_pre,0
