name,mean,sd,min
air,0.909883028,0.592507257,0
etdes,1.066442478,2.179893525,0
etgas,1.390704855,2.142452324,0
etiso,1.74E-05,0.007808734,0
etsevo,0.628757099,1.108671911,0
fio2,47.30529889,20.94203648,21
n2o,0.007721662,0.081104925,0
o2,1.288365173,1.603845065,0
art_dbp,63.43307458,12.51457638,40
art_mbp,80.70519671,14.21007293,50.66666667
art_sbp,115.249441,21.09157343,72
bis,40.20136911,6.664146637,23
bt,34.98994079,3.044979889,20.6
cbro2,73.13287598,125.9059275,8.7
ci,3.23802649,0.358695974,1.5
cvp,4.528718673,2.837736396,-7.5
hr,71.3416814,14.64141518,46
minvol,5.199128365,1.508535544,1.2
pap_dbp,10.09749325,1.42658203,3
pap_mbp,15.0590371,2.081797293,1
pap_sbp,24.94576184,2.275510647,9
spo2,99.30968292,1.894467301,85
sti,-0.000600283,0.05926004,-0.6
stii,0.090078191,0.316374552,-0.8
stiii,-0.002634785,0.097909857,-0.8
stv5,0.007983751,0.12307244,-0.9
svi,49.83545015,2.733962477,14
etco2,30.74342244,7.43251612,0
peep,2.448677257,2.493526978,0
pip,15.93722287,5.102177861,1
pmean,7.218232739,2.478840175,0
pplat,16.0496981,2.804376776,9.5
rr,12.41188541,2.987663075,3.5
vt,426.3800884,95.20196914,160
dobui,0.042756407,0.476097176,0
dopai,0.04757387,0.612443251,0
eph,0.139082273,0.956597204,0
epi,0.031726894,3.555927249,0
epii,0.001868711,0.104571777,0
mlni,0.008317158,0.415089459,0
nepi,0.003746784,0.066180271,0
ntgi,0.017691377,0.182135253,0
phe,0.704770485,7.959721441,0
vaso,5.19E-05,0.0039227,0
VIS,0.075189473,4.269796767,0
aft,0.000261428,0.361543816,0
ftn,0.47268784,4.868483311,0
rfti,0.29154861,0.946610381,0
sft,0.035763341,1.785994537,0
mdz,0.005774682,0.215897994,0
ppf,1.325225233,11.96888802,0
ppfi,0.235067211,0.881809043,0
cryo,0.000610696,0.076480978,0
ffp,0.002095083,0.07802518,0
pc,0.001018262,0.087306729,0
pheresis,5.20E-05,0.012297699,0
psa,10.77424234,71.57852346,0
rbc,0.00272251,0.079840893,0
d10w,0.000183,0.225784025,0
d50w,0.000630041,0.125111414,0
d5w,0.001375111,0.490206819,0
hns,0.085617647,7.106098609,0
hs,8.08663251,53.03796752,0
ns,3.085390728,33.19281026,0
TCI,11.25981597,64.0600357,0
alb20,0.078467593,2.137941419,0
alb5,0.007868981,1.298014456,0
alb,0.016086968,0.432652692,0
hes,1.841995051,28.52841022,0
ebl,5.021891975,31.31894117,0
uo,5.699897468,36.77462959,0
dt,0.003435185,0.001367773,0
