Original Term,Full Name,Standardized Abbreviation
be_pre,Base Excess (Pre),BE (Pre)
hco3_pre,Bicarbonate (Pre),HCO3 (Pre)
paco2_pre,Partial Pressure of Carbon Dioxide (Pre),PaCO2 (Pre)
pao2_pre,Partial Pressure of Oxygen (Pre),PaO2 (Pre)
ph_pre,pH (Pre),pH (Pre)
sao2_pre,Oxygen Saturation (Pre),SpO2 (Pre)
hb_pre,Hemoglobin (Pre),Hb (Pre)
hct_pre,Hematocrit (Pre),Hct (Pre)
lymphocyte_pre,Lymphocyte Count (Pre),Lymph Count (Pre)
platelet_pre,Platelet Count (Pre),Plt Count (Pre)
wbc_pre,White Blood Cell Count (Pre),WBC (Pre)
albumin_pre,Albumin (Pre),Alb (Pre)
alp_pre,Alkaline Phosphatase (Pre),ALP (Pre)
alt_pre,Alanine Transaminase (Pre),ALT (Pre)
ast_pre,Aspartate Transaminase (Pre),AST (Pre)
bun_pre,Blood Urea Nitrogen (Pre),BUN (Pre)
calcium_pre,Calcium (Pre),Ca (Pre)
chloride_pre,Chloride (Pre),Cl (Pre)
ck_pre,Creatine Kinase (Pre),CK (Pre)
creatinine_pre,Creatinine (Pre),CRE (Pre)
glucose_pre,Glucose (Pre),Glu (Pre)
lacate_pre,Lactate (Pre),Lac (Pre)
phosphorus_pre,Phosphorus (Pre),P (Pre)
potassium_pre,Potassium (Pre),K (Pre)
sodium_pre,Sodium (Pre),Na (Pre)
total_bilirubin_pre,Total Bilirubin (Pre),TBIL (Pre)
total_protein_pre,Total Protein (Pre),TP (Pre)
aptt_pre,Activated Partial Thromboplastin Time (Pre),APTT (Pre)
d_dimer_pre,D-dimer (Pre),D-Dimer (Pre)
fibrinogen_pre,Fibrinogen (Pre),FIB (Pre)
ptinr_pre,Prothrombin Time (Pre),INR (Pre)
ckmb_pre,Creatine Kinase-MB (Pre),CK-MB (Pre)
crp_pre,High-sensitive C-reactive Protein (Pre),hs-CRP (Pre)
hba1c_pre,Hemoglobin A1c (Pre),HbA1c (Pre)
troponin_i_pre,Troponin-I (Pre),TnI (Pre)
troponin_t_pre,Troponin-T (Pre),TnT (Pre)
mask_be_pre,Mask for Base Excess (Pre),mask_BE (Pre)
mask_hco3_pre,Mask for Bicarbonate (Pre),mask_HCO3 (Pre)
mask_paco2_pre,Mask for Partial Pressure of Carbon Dioxide (Pre),mask_PaCO2 (Pre)
mask_pao2_pre,Mask for Partial Pressure of Oxygen (Pre),mask_PaO2 (Pre)
mask_ph_pre,Mask for pH (Pre),mask_pH (Pre)
mask_sao2_pre,Mask for Oxygen Saturation (Pre),mask_SpO2 (Pre)
mask_hb_pre,Mask for Hemoglobin (Pre),mask_Hb (Pre)
mask_hct_pre,Mask for Hematocrit (Pre),mask_Hct (Pre)
mask_lymphocyte_pre,Mask for Lymphocyte Count (Pre),mask_Lymph Count (Pre)
mask_platelet_pre,Mask for Platelet Count (Pre),mask_Plt Count (Pre)
mask_wbc_pre,Mask for White Blood Cell Count (Pre),mask_WBC (Pre)
mask_albumin_pre,Mask for Albumin (Pre),mask_Alb (Pre)
mask_alp_pre,Mask for Alkaline Phosphatase (Pre),mask_ALP (Pre)
mask_alt_pre,Mask for Alanine Transaminase (Pre),mask_ALT (Pre)
mask_ast_pre,Mask for Aspartate Transaminase (Pre),mask_AST (Pre)
mask_bun_pre,Mask for Blood Urea Nitrogen (Pre),mask_BUN (Pre)
mask_calcium_pre,Mask for Calcium (Pre),mask_Ca (Pre)
mask_chloride_pre,Mask for Chloride (Pre),mask_Cl (Pre)
mask_ck_pre,Mask for Creatine Kinase (Pre),mask_CK (Pre)
mask_creatinine_pre,Mask for Creatinine (Pre),mask_CRE (Pre)
mask_glucose_pre,Mask for Glucose (Pre),mask_Glu (Pre)
mask_lacate_pre,Mask for Lactate (Pre),mask_Lac (Pre)
mask_phosphorus_pre,Mask for Phosphorus (Pre),mask_P (Pre)
mask_potassium_pre,Mask for Potassium (Pre),mask_K (Pre)
mask_sodium_pre,Mask for Sodium (Pre),mask_Na (Pre)
mask_total_bilirubin_pre,Mask for Total Bilirubin (Pre),mask_TBIL (Pre)
mask_total_protein_pre,Mask for Total Protein (Pre),mask_TP (Pre)
mask_aptt_pre,Mask for Activated Partial Thromboplastin Time (Pre),mask_APTT (Pre)
mask_d_dimer_pre,Mask for D-dimer (Pre),mask_D-Dimer (Pre)
mask_fibrinogen_pre,Mask for Fibrinogen (Pre),mask_FIB (Pre)
mask_ptinr_pre,Mask for Prothrombin Time (Pre),mask_INR (Pre)
mask_ckmb_pre,Mask for Creatine Kinase-MB (Pre),mask_CK-MB (Pre)
